公職,推薦政黨,中文姓名,英文姓名,node_id,選舉黃頁網址
"[立法委員]臺北市 > 第02選區[區域]",人民民主陣線,夏林清,"HSIA,LIN,CHING","[Offshore Leaks]76147",http://k.olc.tw/elections/candidates/view/54d9c44b-6eac-4778-860a-6b30acb5b862
"[立法委員]臺北市 > 第01選區[區域]",綠黨,張育憬,"CHANG,YU,CHING","[Offshore Leaks]91705",http://k.olc.tw/elections/candidates/view/54d9c44b-3b5c-4b07-adda-6b30acb5b862
"[立法委員]臺北市 > 第05選區[區域]",台灣國民會議,葉玫,"YE,MEI","[Offshore Leaks]76317",http://k.olc.tw/elections/candidates/view/54d9c44b-6948-4a2e-ba78-6b30acb5b862
"[立法委員]臺北市 > 第05選區[區域]",中國國民黨,林郁方,"LIN,YU,FANG","[Offshore Leaks]56057|[Offshore Leaks]53678",http://k.olc.tw/elections/candidates/view/54d9c44b-80c0-42c1-8be2-6b30acb5b862
"[立法委員]臺北市 > 第06選區[區域]",親民黨,陳振盛,"CHEN,CHEN,CHENG","[Offshore Leaks]91915",http://k.olc.tw/elections/candidates/view/54d9c44b-3964-4d77-bfd8-6b30acb5b862
"[立法委員]新北市 > 第04選區[區域]",健保免費連線,鄭余鎮,"ZHENG,YU,ZHEN","[Panama Papers]12208674",http://k.olc.tw/elections/candidates/view/54d9c44c-1da8-46e0-bd45-6b30acb5b862
"[立法委員]新北市 > 第03選區[區域]",中華民國臺灣基本法連線,吳清,"WU,QING","[Panama Papers]12165427|[Panama Papers]12180369|[Offshore Leaks]10483",http://k.olc.tw/elections/candidates/view/54d9c44c-302c-44b7-a12c-6b30acb5b862
"[立法委員]臺北市 > 第07選區[區域]",無黨籍及未經政黨推薦,黎俊廷,"LI,CHUN,TING","[Panama Papers]12137472",http://k.olc.tw/elections/candidates/view/54d9c44c-e31c-4b51-8cfb-6b30acb5b862
"[立法委員]新北市 > 第02選區[區域]",民主進步黨,林淑芬,"LIN,SHU,FEN","[Offshore Leaks]54510",http://k.olc.tw/elections/candidates/view/54d9c44c-dbe4-456e-99ed-6b30acb5b862
"[立法委員]新北市 > 第01選區[區域]",綠黨,王鐘銘,"WANG,ZHONG,MING","[Panama Papers]12117067|[Offshore Leaks]54336",http://k.olc.tw/elections/candidates/view/54d9c44c-ac00-4634-a870-6b30acb5b862
"[立法委員]臺北市 > 第08選區[區域]",綠黨,余宛如,"HSU,WAN,JU","[Offshore Leaks]77382|[Offshore Leaks]70183",http://k.olc.tw/elections/candidates/view/54d9c44c-e41c-474f-9bcb-6b30acb5b862
"[立法委員]臺中市 > 第01選區[區域]",民主進步黨,蔡其昌,"TSAI,CHI,CHANG","[Offshore Leaks]117824",http://k.olc.tw/elections/candidates/view/54d9c44d-af3c-40ab-b6b7-6b30acb5b862
"[立法委員]臺中市 > 第01選區[區域]",無黨籍及未經政黨推薦,王憲堂,"WANG,HSIEN,TANG","[Offshore Leaks]51166",http://k.olc.tw/elections/candidates/view/54d9c44d-b854-4879-8929-6b30acb5b862
"[立法委員]新北市 > 第11選區[區域]",民主進步黨,高建智,"KAO,CHIEN,CHIH","[Offshore Leaks]50015",http://k.olc.tw/elections/candidates/view/54d9c44d-25f0-482f-ac91-6b30acb5b862
"[立法委員]新北市 > 第12選區[區域]",中國國民黨,李慶華,"LI,CHING,HUA","[Offshore Leaks]104155",http://k.olc.tw/elections/candidates/view/54d9c44d-b0a0-46ba-ac39-6b30acb5b862
"[立法委員]臺中市 > 第04選區[區域]",人民最大黨,楊書銘,"YANG,SHU,MING","[Panama Papers]12110947|[Panama Papers]12179257|[Offshore Leaks]84593",http://k.olc.tw/elections/candidates/view/54d9c44d-4268-4575-89b5-6b30acb5b862
"[立法委員]新北市 > 第08選區[區域]",中國國民黨,張慶忠,"CHANG,CHING,CHUNG","[Offshore Leaks]99728",http://k.olc.tw/elections/candidates/view/54d9c44d-2ce8-4aea-9e4a-6b30acb5b862
"[立法委員]臺南市 > 第03選區[區域]",健保免費連線,陳源奇,"CHEN,YUAN,CHI","[Offshore Leaks]109246",http://k.olc.tw/elections/candidates/view/54d9c44e-7814-4d71-87e2-6b30acb5b862
"[立法委員]臺南市 > 第05選區[區域]",民主進步黨,陳唐山,"CHEN,TANG,SHAN","[Panama Papers]12191945",http://k.olc.tw/elections/candidates/view/54d9c44f-ab6c-494b-bda0-6b30acb5b862
"[立法委員]臺中市 > 第08選區[區域]",民主進步黨,郭俊銘,"GUO,JUN,MING","[Panama Papers]12209794",http://k.olc.tw/elections/candidates/view/54d9c44e-7fd0-43be-b3f3-6b30acb5b862
"[立法委員]臺中市 > 第07選區[區域]",中國國民黨,鄭麗文,"ZHENG,LI,WEN","[Panama Papers]12171813",http://k.olc.tw/elections/candidates/view/54d9c44e-42c4-4132-adef-6b30acb5b862
"[立法委員]高雄市 > 第08選區[區域]",無黨籍及未經政黨推薦,林景元,"LIN,JING,YUAN","[Offshore Leaks]88239",http://k.olc.tw/elections/candidates/view/54d9c44f-1224-48f8-9a6f-6b30acb5b862
"[立法委員]高雄市 > 第09選區[區域]",無黨籍及未經政黨推薦,陳致中,"CHEN,ZHI,ZHONG","[Panama Papers]12141014|[Offshore Leaks]96807",http://k.olc.tw/elections/candidates/view/54d9c44f-26c4-46cf-b5cb-6b30acb5b862
"[立法委員]高雄市 > 第09選區[區域]",中國國民黨,林國正,"LIN,KUO,CHENG","[Offshore Leaks]102677",http://k.olc.tw/elections/candidates/view/54d9c450-a300-4c78-b655-6b30acb5b862
"[立法委員]高雄市 > 第04選區[區域]",無黨籍及未經政黨推薦,黃憲南,"HUANG,HSIEN,NAN","[Offshore Leaks]79402",http://k.olc.tw/elections/candidates/view/54d9c44f-3224-447a-a053-6b30acb5b862
"[立法委員]桃園縣 > 第03選區[區域]",中國國民黨,陳學聖,"CHEN,HSUEH,SHENG","[Offshore Leaks]58135",http://k.olc.tw/elections/candidates/view/54d9c450-7558-496a-91b0-6b30acb5b862
"[立法委員]桃園縣 > 第05選區[區域]",台灣國民會議,陳振瑋,"CHEN,CHEN,WEI","[Offshore Leaks]76850",http://k.olc.tw/elections/candidates/view/54d9c450-4508-489e-9d37-6b30acb5b862
"[立法委員]桃園縣 > 第05選區[區域]",中國國民黨,呂玉玲,"LIU,YU,LING","[Offshore Leaks]60900",http://k.olc.tw/elections/candidates/view/54d9c450-a074-4c96-9c11-6b30acb5b862
"[立法委員]桃園縣 > 第04選區[區域]",台灣國民會議,陳叡德,"CHEN,JUI,TE","[Offshore Leaks]48502",http://k.olc.tw/elections/candidates/view/54d9c450-f0c8-4ba2-95c3-6b30acb5b862
