公職,推薦政黨,中文姓名,英文姓名,node_id,選舉黃頁網址
"[立法委員]新竹縣 > 第01選區[區域]",台灣主義黨,戴國樑,"DAI,GUO,LIANG","[Panama Papers]12179127|[Panama Papers]12179131",http://k.olc.tw/elections/candidates/view/54d9c450-9e88-485a-86cc-6b30acb5b862
"[立法委員]苗栗縣 > 第01選區[區域]",中國國民黨,陳超明,"CHEN,CHAO,MING","[Offshore Leaks]42079",http://k.olc.tw/elections/candidates/view/54d9c450-b4e8-4b57-97a8-6b30acb5b862
"[立法委員]雲林縣 > 第02選區[區域]",民主進步黨,劉建國,"LIU,JIAN,GUO","[Panama Papers]12038979|[Offshore Leaks]65437",http://k.olc.tw/elections/candidates/view/54d9c451-05bc-4fab-8679-6b30acb5b862
"[立法委員]嘉義縣 > 第01選區[區域]",民主進步黨,蔡易餘,"TSAI,YI,YU","[Offshore Leaks]48727",http://k.olc.tw/elections/candidates/view/54d9c451-1f98-417a-b2b5-6b30acb5b862
"[立法委員]彰化縣 > 第03選區[區域]",民主進步黨,江昭儀,"CHIANG,CHAO,I","[Offshore Leaks]72743|[Offshore Leaks]57976",http://k.olc.tw/elections/candidates/view/54d9c451-035c-488c-a6e4-6b30acb5b862
"[立法委員]彰化縣 > 第01選區[區域]",民主進步黨,陳進丁,"CHEN,CHIN,TING","[Offshore Leaks]112394",http://k.olc.tw/elections/candidates/view/54d9c451-e608-4954-8e83-6b30acb5b862
"[立法委員]彰化縣 > 第02選區[區域]",民主進步黨,黃秀芳,"HUANG,HSIU,FANG","[Panama Papers]12102107",http://k.olc.tw/elections/candidates/view/54d9c451-3bb4-4282-b8c0-6b30acb5b862
"[立法委員]南投縣 > 第02選區[區域]",中國國民黨,林明溱,"LIN,MING,JEN","[Offshore Leaks]108468",http://k.olc.tw/elections/candidates/view/54d9c451-155c-44de-bfa5-6b30acb5b862
"[立法委員]嘉義縣 > 第02選區[區域]",中國國民黨,陳以真,"CHEN,YI,CHEN","[Panama Papers]12100106|[Offshore Leaks]91248",http://k.olc.tw/elections/candidates/view/54d9c452-5cbc-44cd-b759-6b30acb5b862
"[立法委員]雲林縣 > 第01選區[區域]",中國國民黨,張嘉郡,"ZHANG,JIA,JUN","[Panama Papers]12127288",http://k.olc.tw/elections/candidates/view/54d9c451-1c48-4563-ace9-6b30acb5b862
"[立法委員]基隆市 > 第01選區[區域]",民主進步黨,林右昌,"LIN,YU,CHANG","[Offshore Leaks]99247",http://k.olc.tw/elections/candidates/view/54d9c452-aae4-4c2a-a555-6b30acb5b862
"[立法委員]基隆市 > 第01選區[區域]",台灣主義黨,周一成,"ZHOU,YI,CHENG","[Panama Papers]12208206",http://k.olc.tw/elections/candidates/view/54d9c452-e354-4d41-b826-6b30acb5b862
"[立法委員]屏東縣 > 第01選區[區域]",台灣主義黨,陳俊豪,"CHEN,CHUN,HAO","[Panama Papers]12096717",http://k.olc.tw/elections/candidates/view/54d9c452-f9fc-48bc-bd22-6b30acb5b862
"[立法委員]臺東縣 > 第01選區[區域]",綠黨,謝文漢,"HSIEH,WEN,HAN","[Offshore Leaks]75955",http://k.olc.tw/elections/candidates/view/54d9c452-cdac-4a61-943c-6b30acb5b862
"[立法委員]嘉義市 > 第01選區[區域]",民主進步黨,李俊俋,"LI,JUN,YI","[Panama Papers]12220687",http://k.olc.tw/elections/candidates/view/54d9c453-ad98-4aaf-aa80-6b30acb5b862
"[立法委員]屏東縣 > 第02選區[區域]",中國國民黨,王進士,"WANG,CHIN,SHIH","[Offshore Leaks]40421",http://k.olc.tw/elections/candidates/view/54d9c452-360c-4ada-8709-6b30acb5b862
"[立法委員]澎湖縣 > 第01選區[區域]",民主進步黨,楊曜,"YANG,YAO","[Panama Papers]12197019|[Panama Papers]12205246",http://k.olc.tw/elections/candidates/view/54d9c452-dce0-4d64-a214-6b30acb5b862
"[立法委員]新竹市 > 第01選區[區域]",無黨籍及未經政黨推薦,王榮德,"WANG,JUNG,TE","[Offshore Leaks]62638",http://k.olc.tw/elections/candidates/view/54d9c452-44a8-4a6d-8beb-6b30acb5b862
"[立法委員]新竹市 > 第01選區[區域]",民主進步黨,張學舜,"CHANG,HSUEH,SHUN","[Offshore Leaks]89266",http://k.olc.tw/elections/candidates/view/54d9c452-59bc-4ccb-b89e-6b30acb5b862
"[立法委員]新竹市 > 第01選區[區域]",無黨籍及未經政黨推薦,王瑄,"WANG,XUAN","[Panama Papers]12201956|[Panama Papers]12225173|[Offshore Leaks]61730",http://k.olc.tw/elections/candidates/view/54d9c452-68f4-4a85-9643-6b30acb5b862
"[立法委員]金門縣 > 第01選區[區域]",親民黨,陳福海,"CHEN,FU,HAI","[Panama Papers]12188241",http://k.olc.tw/elections/candidates/view/54d9c453-6ce8-4f38-883f-6b30acb5b862
[立法委員]全國[平原],無黨籍及未經政黨推薦,洪國治,"HONG,GUO,ZHI","[Panama Papers]12170244|[Panama Papers]12183720",http://k.olc.tw/elections/candidates/view/54d9c453-b6f8-4207-b0c5-6b30acb5b862
"[立法委員]連江縣 > 第01選區[區域]",無黨籍及未經政黨推薦,陳雪生,"CHEN,HSUEH,SHENG","[Offshore Leaks]58135",http://k.olc.tw/elections/candidates/view/54d9c453-d63c-4fc1-84fa-6b30acb5b862
[立法委員]全國[不分區政黨],新黨,新黨,"HSIN,TANG","[Offshore Leaks]70577",http://k.olc.tw/elections/candidates/view/54d9c453-1e60-478c-b6bc-6b30acb5b862
[立法委員]全國[不分區政黨],綠黨,綠黨,"LU,TANG","[Panama Papers]12173419|[Panama Papers]13000827",http://k.olc.tw/elections/candidates/view/54d9c453-d670-4b1f-b6be-6b30acb5b862
[直轄市長]臺北市,無,陳永昌,"CHEN,YONG,CHANG","[Offshore Leaks]105162",http://k.olc.tw/elections/candidates/view/540b569d-49f4-47d1-9873-1926acb5b862
"[村里長]臺北市 > 松山區 > 吉祥里",中國國民黨,陳永昌,"CHEN,YONG,CHANG","[Offshore Leaks]105162",http://k.olc.tw/elections/candidates/view/53c02631-efec-4c35-ad70-5dffacb5b862
"[村里長]臺北市 > 信義區 > 永吉里",中國國民黨,陳永昌,"CHEN,YONG,CHANG","[Offshore Leaks]105162",http://k.olc.tw/elections/candidates/view/53c02633-8c74-4b07-9dda-5dffacb5b862
[直轄市長]高雄市,民主進步黨,陳菊,"CHEN,JU","[Panama Papers]12168393",http://k.olc.tw/elections/candidates/view/53c028c8-8c38-4d45-a30a-5dffacb5b862
[直轄市長]桃園市,中國國民黨,吳志揚,"WU,ZHI,YANG","[Offshore Leaks]87008|[Offshore Leaks]46825",http://k.olc.tw/elections/candidates/view/53c028be-4674-4638-b1cd-5dffacb5b862
[直轄市長]臺中市,中國國民黨,胡志強,"HU,ZHI,QIANG","[Offshore Leaks]101300|[Offshore Leaks]101060",http://k.olc.tw/elections/candidates/view/53c028c0-e3e4-4570-a92d-5dffacb5b862
"[縣市議員]連江縣 > 第01選區[區域]",中國國民黨,李金梅,"LI,JIN,MEI","[Panama Papers]12185135|[Panama Papers]12211647|[Offshore Leaks]14921",http://k.olc.tw/elections/candidates/view/53c68f97-e6a0-4f07-843c-0f15acb5b862
"[縣市議員]連江縣 > 第01選區[區域]",中國國民黨,林惠萍,"LIN,HUI,PING","[Panama Papers]12149486|[Offshore Leaks]94476",http://k.olc.tw/elections/candidates/view/53c68f97-e168-44b6-9996-0f15acb5b862
"[縣市議員]連江縣 > 第01選區[區域]",中國國民黨,陳書建,"CHEN,SHU,CHIEN","[Offshore Leaks]66236",http://k.olc.tw/elections/candidates/view/540b56cc-9b78-42ed-abf1-1926acb5b862
"[縣市議員]連江縣 > 第02選區[區域]",無,王長明,"WANG,CHANG,MING","[Offshore Leaks]58150",http://k.olc.tw/elections/candidates/view/53c68f97-dee0-4e1a-a59b-0f15acb5b862
"[縣市議員]連江縣 > 第04選區[區域]",無,張永江,"ZHANG,YONG,JIANG","[Panama Papers]12188151",http://k.olc.tw/elections/candidates/view/53c68f97-08e4-48dc-b328-0f15acb5b862
"[縣市議員]金門縣 > 第01選區[區域]",中國國民黨,林金量,"LIN,CHIN,LIANG","[Offshore Leaks]61861",http://k.olc.tw/elections/candidates/view/53c68f98-9ce8-4f19-b67c-0f15acb5b862
"[縣市議員]金門縣 > 第03選區[區域]",中國國民黨,林金量,"LIN,CHIN,LIANG","[Offshore Leaks]61861",http://k.olc.tw/elections/candidates/view/540b56cb-53fc-4848-96a7-1926acb5b862
"[縣市議員]金門縣 > 第01選區[區域]",中國國民黨,楊永立,"YANG,YONG,LI","[Panama Papers]12152178|[Panama Papers]12167142",http://k.olc.tw/elections/candidates/view/53c68f98-7e3c-4e81-98fd-0f15acb5b862
"[縣市議員]金門縣 > 第01選區[區域]",中國國民黨,許建中,"XU,JIAN,ZHONG","[Panama Papers]12169073|[Panama Papers]13005573",http://k.olc.tw/elections/candidates/view/53c68f98-6acc-4baa-befe-0f15acb5b862
"[縣市議員]金門縣 > 第01選區[區域]",民主進步黨,陳滄江,"CHEN,TSANG,CHIANG","[Offshore Leaks]55270",http://k.olc.tw/elections/candidates/view/53c68f98-14c4-4c81-a9c2-0f15acb5b862
"[縣市議員]金門縣 > 第01選區[區域]",中國國民黨,李錫添,"LI,SHI,TIAN","[Panama Papers]12204955",http://k.olc.tw/elections/candidates/view/540b56ca-ebf8-4f32-8099-1926acb5b862
"[縣市議員]金門縣 > 第02選區[區域]",中國國民黨,王再生,"YU,TSAI,SHENG","[Offshore Leaks]53334",http://k.olc.tw/elections/candidates/view/53c68f98-ac6c-48d8-9ab0-0f15acb5b862
"[縣市議員]金門縣 > 第02選區[區域]",中國國民黨,周子傑,"ZHOU,ZI,JIE","[Panama Papers]12167713",http://k.olc.tw/elections/candidates/view/53c68f98-2654-4e5b-9c45-0f15acb5b862
"[縣市議員]金門縣 > 第02選區[區域]",無,陳玉珍,"CHEN,YU,ZHEN","[Offshore Leaks]81552",http://k.olc.tw/elections/candidates/view/540b56ca-c134-46a4-84a6-1926acb5b862
"[縣市議員]金門縣 > 第02選區[區域]",無,陳美雲,"CHEN,MEI,YUN","[Panama Papers]12200176|[Panama Papers]12210616|[Offshore Leaks]89881|[Offshore Leaks]104477",http://k.olc.tw/elections/candidates/view/540b56ca-cfa0-49f5-ba47-1926acb5b862
"[縣市議員]金門縣 > 第02選區[區域]",無,陳文慶,"CHEN,WEN,CHING","[Offshore Leaks]65589",http://k.olc.tw/elections/candidates/view/540b56cb-d57c-4f37-aea0-1926acb5b862
"[村里長]桃園市 > 龜山區 > 新嶺里",無,陳文慶,"CHEN,WEN,CHING","[Offshore Leaks]65589",http://k.olc.tw/elections/candidates/view/540b53a2-e3d0-4418-9078-1926acb5b862
"[村里長]新北市 > 坪林區 > 水德里",,陳文慶,"CHEN,WEN,CHING","[Offshore Leaks]65589",http://k.olc.tw/elections/candidates/view/53c026dd-2a80-4d1d-a801-5dffacb5b862
"[縣市議員]宜蘭縣 > 第01選區[區域]",中國國民黨,張建榮,"ZHANG,JIAN,RONG","[Panama Papers]12124093",http://k.olc.tw/elections/candidates/view/53c68f6f-60bc-4ca6-b564-0f15acb5b862
"[縣市議員]宜蘭縣 > 第01選區[區域]",台灣團結聯盟,陳進亮,"CHEN,JIN,LIANG","[Offshore Leaks]113276",http://k.olc.tw/elections/candidates/view/54069614-ca0c-4919-b8af-07ecacb5b862
"[縣市議員]宜蘭縣 > 第01選區[區域]",無,羅文清,"LO,WEN,CHING","[Offshore Leaks]50847",http://k.olc.tw/elections/candidates/view/540b56bb-7650-469f-9f51-1926acb5b862
"[縣市議員]宜蘭縣 > 第01選區[區域]",無,陳永錰,"CHEN,YONG","[Panama Papers]12179811|[Panama Papers]12183333|[Panama Papers]12184648|[Panama Papers]12185756|[Panama Papers]12188045|[Panama Papers]12199480|[Panama Papers]12200522|[Panama Papers]12209495|[Panama Papers]12209875|[Panama Papers]12221863|[Panama Papers]12224419|[Offshore Leaks]102956|[Offshore Leaks]82214|[Offshore Leaks]99991|[Offshore Leaks]5258|[Offshore Leaks]9843|[Offshore Leaks]24559|[Offshore Leaks]33145",http://k.olc.tw/elections/candidates/view/540b56bb-6644-4515-a625-1926acb5b862
"[縣市議員]宜蘭縣 > 第01選區[區域]",民主進步黨,林志鴻,"LIN,CHIH,HUNG","[Panama Papers]12086302|[Offshore Leaks]95180|[Offshore Leaks]53945",http://k.olc.tw/elections/candidates/view/540b56bd-6b08-40b1-8b7f-1926acb5b862
"[村里長]高雄市 > 楠梓區 > 惠楠里",無,林志鴻,"LIN,CHIH,HUNG","[Panama Papers]12086302|[Offshore Leaks]95180|[Offshore Leaks]53945",http://k.olc.tw/elections/candidates/view/540b5457-7b98-495a-8967-1926acb5b862
"[縣市議員]宜蘭縣 > 第02選區[區域]",無,林東成,"LIN,DONG,CHENG","[Panama Papers]12208663",http://k.olc.tw/elections/candidates/view/540b56bd-f25c-42d5-afec-1926acb5b862
"[村里長]臺中市 > 后里區 > 義里里",無,林東成,"LIN,DONG,CHENG","[Panama Papers]12208663",http://k.olc.tw/elections/candidates/view/540b53e1-8060-4270-8582-1926acb5b862
"[縣市議員]宜蘭縣 > 第02選區[區域]",中國國民黨,陳秀暖,"CHEN,HSIU,HSUAN","[Offshore Leaks]48331",http://k.olc.tw/elections/candidates/view/540b56bd-11f0-4f9e-b219-1926acb5b862
"[鄉鎮市長]宜蘭縣 > 頭城鎮",無政黨,陳秀暖,"CHEN,HSIU,HSUAN","[Offshore Leaks]48331",http://k.olc.tw/elections/candidates/view/5406a5fc-6b10-46c2-b61b-15b8acb5b862
"[縣市議員]宜蘭縣 > 第02選區[區域]",民主進步黨,林金龍,"LIN,JIN,LONG","[Offshore Leaks]82798",http://k.olc.tw/elections/candidates/view/540b56bd-3ae0-4045-9c0b-1926acb5b862
"[村里長]基隆市 > 安樂區 > 新崙里",無,林金龍,"LIN,JIN,LONG","[Offshore Leaks]82798",http://k.olc.tw/elections/candidates/view/53c0288b-03c4-4b2a-b9a4-5dffacb5b862
"[縣市議員]宜蘭縣 > 第02選區[區域]",無,楊惠民,"YANG,HUI,MIN","[Offshore Leaks]66237",http://k.olc.tw/elections/candidates/view/540b56bd-46f4-45fc-a298-1926acb5b862
"[縣市議員]宜蘭縣 > 第03選區[區域]",中國國民黨,李清林,"LI,CHING,LIN","[Panama Papers]12080192",http://k.olc.tw/elections/candidates/view/53c68f6f-bba8-48c2-95a3-0f15acb5b862
"[村里長]臺南市 > 官田區 > 南廍里",無,李清林,"LI,CHING,LIN","[Panama Papers]12080192",http://k.olc.tw/elections/candidates/view/540b5410-9ccc-4e97-bf74-1926acb5b862
"[縣市議員]宜蘭縣 > 第03選區[區域]",無,林成功,"LIN,CHENG,GONG","[Panama Papers]12113171",http://k.olc.tw/elections/candidates/view/540b56bd-24b4-438f-90e3-1926acb5b862
"[縣市議員]宜蘭縣 > 第05選區[區域]",中國國民黨,黃建勇,"HUANG,JIAN,YONG","[Panama Papers]12200364",http://k.olc.tw/elections/candidates/view/540b56be-4d14-4bed-971f-1926acb5b862
"[縣市議員]宜蘭縣 > 第07選區[區域]",民主進步黨,張明華,"ZHANG,MING,HUA","[Panama Papers]12223530",http://k.olc.tw/elections/candidates/view/540b56be-d2ac-4f2f-9bbf-1926acb5b862
"[村里長]南投縣 > 仁愛鄉 > 互助村",中國國民黨,張明華,"ZHANG,MING,HUA","[Panama Papers]12223530",http://k.olc.tw/elections/candidates/view/540b554f-6680-4ba5-b8bc-1926acb5b862
"[縣市議員]宜蘭縣 > 第08選區[區域]",無,張建成,"ZHANG,JIAN,CHENG","[Panama Papers]12208514|[Offshore Leaks]94648",http://k.olc.tw/elections/candidates/view/540b56be-36f8-4fd1-8046-1926acb5b862
"[縣市議員]宜蘭縣 > 第08選區[區域]",中國國民黨,林松根,"LIN,SONG,GEN","[Panama Papers]12155485|[Panama Papers]12163248|[Panama Papers]12163249|[Panama Papers]12163926",http://k.olc.tw/elections/candidates/view/540b56bf-0514-42b3-a9c4-1926acb5b862
"[縣市議員]宜蘭縣 > 第09選區[區域]",中國國民黨,李志鏞,"LI,ZHI,YONG","[Panama Papers]12022992|[Offshore Leaks]59388",http://k.olc.tw/elections/candidates/view/53c68f70-d1c4-4903-b578-0f15acb5b862
"[縣市議員]宜蘭縣 > 第09選區[區域]",民主進步黨,陳文昌,"CHEN,WEN,CHANG","[Offshore Leaks]103781|[Offshore Leaks]49717",http://k.olc.tw/elections/candidates/view/540b56bf-e85c-4853-86b2-1926acb5b862
"[縣市議員]宜蘭縣 > 第10選區[區域]",中國國民黨,陳金麟,"CHEN,JIN,LIN","[Panama Papers]12161975",http://k.olc.tw/elections/candidates/view/53c68f71-dad0-4e1e-9b40-0f15acb5b862
"[鄉鎮市長]宜蘭縣 > 蘇澳鎮",中國國民黨,陳金麟,"CHEN,JIN,LIN","[Panama Papers]12161975",http://k.olc.tw/elections/candidates/view/540b581a-2d30-4c4a-891a-1926acb5b862
"[縣市議員]宜蘭縣 > 第10選區[區域]",無,陳正男,"CHEN,CHENG,NAN","[Offshore Leaks]57547",http://k.olc.tw/elections/candidates/view/53c68f71-4edc-411b-9dda-0f15acb5b862
"[縣市議員]宜蘭縣 > 第10選區[區域]",民主進步黨,王明輝,"WANG,MING,HUI","[Offshore Leaks]15395|[Offshore Leaks]15406",http://k.olc.tw/elections/candidates/view/540b56bf-1d20-41c2-b4de-1926acb5b862
"[鄉鎮市民代表]雲林縣 > 大埤鄉 > 第04選舉區[區域]",無,王明輝,"WANG,MING,HUI","[Offshore Leaks]15395|[Offshore Leaks]15406",http://k.olc.tw/elections/candidates/view/540b5755-1e74-4aab-9de4-1926acb5b862
"[村里長]臺東縣 > 海端鄉 > 廣原村",無,王明輝,"WANG,MING,HUI","[Offshore Leaks]15395|[Offshore Leaks]15406",http://k.olc.tw/elections/candidates/view/540b5631-fce8-4251-9960-1926acb5b862
"[縣市議員]宜蘭縣 > 第12選區[山地]",中國國民黨,李玉蕙,"LI,YU,HUI","[Panama Papers]12154393",http://k.olc.tw/elections/candidates/view/540b56bf-4b7c-41da-bd23-1926acb5b862
"[縣市議員]新竹縣 > 第01選區[區域]",無,鄭美琴,"CHENG,MEI,CHIN","[Offshore Leaks]64065",http://k.olc.tw/elections/candidates/view/53c68f76-9ee4-4624-999f-0f15acb5b862
"[縣市議員]新竹縣 > 第02選區[區域]",無,陳栢維,"CHEN,WEI","[Panama Papers]12145181|[Panama Papers]12171091|[Panama Papers]12172796|[Panama Papers]12180742|[Panama Papers]12180960|[Panama Papers]12181574|[Panama Papers]12183694|[Panama Papers]12184639|[Panama Papers]12184655|[Panama Papers]12185697|[Panama Papers]12186482|[Panama Papers]12190623|[Panama Papers]12190868|[Panama Papers]12191866|[Panama Papers]12191942|[Panama Papers]12203394|[Panama Papers]12205222|[Panama Papers]12205505|[Panama Papers]12206035|[Panama Papers]12207437|[Panama Papers]12207522|[Panama Papers]12209867|[Panama Papers]12209931|[Panama Papers]12210356|[Panama Papers]12212289|[Panama Papers]13012168|[Panama Papers]13001731|[Panama Papers]13002321|[Offshore Leaks]115459|[Offshore Leaks]122115|[Offshore Leaks]15632|[Offshore Leaks]23643|[Offshore Leaks]67704|[Offshore Leaks]42236|[Offshore Leaks]44111|[Offshore Leaks]44311|[Offshore Leaks]53798",http://k.olc.tw/elections/candidates/view/53c68f77-225c-4abb-a57e-0f15acb5b862
"[縣市議員]新竹縣 > 第02選區[區域]",無,張春鳳,"ZHANG,CHUN,FENG","[Panama Papers]12104411|[Panama Papers]12111716|[Panama Papers]12206890|[Offshore Leaks]118788",http://k.olc.tw/elections/candidates/view/540b569f-17fc-4115-a12e-1926acb5b862
"[鄉鎮市長]新竹縣 > 湖口鄉",中國國民黨,張春鳳,"ZHANG,CHUN,FENG","[Panama Papers]12104411|[Panama Papers]12111716|[Panama Papers]12206890|[Offshore Leaks]118788",http://k.olc.tw/elections/candidates/view/5406a5fe-92c0-487b-b54d-15b8acb5b862
"[縣市議員]新竹縣 > 第03選區[區域]",中國國民黨,張鎮榮,"CHANG,CHEN,JUNG","[Offshore Leaks]90712",http://k.olc.tw/elections/candidates/view/540b569f-3024-43ed-8d16-1926acb5b862
"[縣市議員]新竹縣 > 第05選區[區域]",無,張玟源,"CHANG,WEN,YUAN","[Panama Papers]12179497|[Panama Papers]13009299",http://k.olc.tw/elections/candidates/view/540b569f-a330-4b7d-acf2-1926acb5b862
"[縣市議員]新竹縣 > 第06選區[區域]",中國國民黨,張志弘,"ZHANG,ZHI,HONG","[Panama Papers]12097449|[Panama Papers]13010208|[Offshore Leaks]3459",http://k.olc.tw/elections/candidates/view/53c68f77-1530-47e3-8f5f-0f15acb5b862
"[縣市議員]新竹縣 > 第09選區[區域]",無,林麗華,"LIN,LI,HUA","[Panama Papers]12030678|[Panama Papers]12170261|[Offshore Leaks]88192",http://k.olc.tw/elections/candidates/view/540b56a0-b98c-4470-9536-1926acb5b862
"[鄉鎮市民代表]新竹縣 > 寶山鄉 > 第04選舉區[區域]",無,林麗華,"LIN,LI,HUA","[Panama Papers]12030678|[Panama Papers]12170261|[Offshore Leaks]88192",http://k.olc.tw/elections/candidates/view/540b56e9-08f0-4504-8a24-1926acb5b862
